sample	BLCA	CESC	ESCA	HNSC	LUSC
Case_32	0.0024452915	4.4042787e-05	0.0006600002	0.21621329	0.7806373
Case_35	0.0007601072	4.3494842e-06	0.00020442219	0.014214458	0.9848166
Case_40	0.0058742375	0.0004883105	0.00910613	0.36408323	0.6204482
Case_43	0.0001092432	6.664774e-06	0.009866431	0.033340767	0.9566768
Case_49	0.000109851615	6.126844e-06	0.0052568256	0.30682665	0.68780047
Reference_sample_7	0.110762894	0.001605169	0.00078769226	0.035747062	0.85109717
Reference_sample_8	9.6990836e-05	2.2323788e-07	2.9968118e-05	0.064744666	0.93512815
Reference_sample_5	0.0010980379	0.008110048	0.02173342	0.9660855	0.0029730916
Reference_sample_2	0.0005543842	0.001040414	0.0044919834	0.9893973	0.0045159645
Reference_sample_1	0.00021535938	0.0005952414	0.00449291	0.99163485	0.0030617383
Reference_sample_4	7.1667164e-05	0.0001766367	0.00033261185	0.999064	0.0003550578
Reference_sample_3	2.8731389e-05	0.00032733844	0.00685908	0.9923079	0.00047692933
Case_46	0.0002935787	2.6714204e-06	0.00042165973	0.23054436	0.7687377
Reference_sample_10	4.8556958e-05	1.4573173e-05	0.10004441	0.30664447	0.59324795
Case_33	0.00019435489	1.3664027e-06	0.0003143765	0.018677162	0.9808127
Reference_sample_9	0.0002206555	2.0495554e-06	0.00045992024	0.027409885	0.97190756
Case_38	0.022447273	0.009524159	0.0936652	0.35729754	0.5170658
Case_47	0.007229753	0.0069351527	0.3322393	0.2361865	0.41740927
Case_45	0.019150788	0.001498089	0.013551898	0.071926795	0.8938724
Case_44	0.001991874	1.4959283e-05	0.00030541408	0.02423278	0.97345495
Case_48	0.0005979607	1.093853e-06	3.4377852e-05	0.017827813	0.9815388
Case_34	0.00018658226	1.2360161e-07	8.01864e-06	0.015858866	0.98394644
Case_50	0.0007357712	1.967175e-06	4.8369293e-05	0.09637399	0.90284
Case_37	0.061010376	0.0121627	0.033986494	0.17772503	0.71511537
Case_51	0.05078009	0.079257704	0.044520564	0.75966114	0.065780535
Case_39	0.00031833036	2.9415908e-06	0.00052701787	0.03270995	0.96644187
Case_42	0.00011757178	4.0013624e-06	0.004015546	0.049082555	0.9467803
Case_36	0.00047971134	3.401891e-06	0.00032432945	0.031441107	0.96775156
Case_41	0.037030656	0.0006789336	0.0011548967	0.025366647	0.93576884
Reference_sample_6	0.00032507657	6.330354e-06	0.0016209957	0.03341816	0.96462935
Case_01	0.0038032117	0.004277106	0.18180618	0.5517726	0.25834092
Case_02	0.0015658282	0.0010654889	0.10004002	0.60594106	0.29138756
Case_03	6.460538e-05	7.032917e-06	0.014588133	0.5181974	0.4671428
Case_04	0.00011529107	0.000525807	0.0003472339	0.99889696	0.00011464528
Case_05	0.003844123	0.0073436475	0.00575887	0.9766802	0.0063731386
Case_06	0.005554202	0.0022223205	0.055173904	0.54943985	0.3876098
Case_07	2.5607549e-06	3.0786348e-06	0.004620296	0.9890393	0.0063347453
Case_08	9.26023e-06	6.080179e-05	0.01810181	0.9803049	0.0015232721
Case_09	0.00016215739	1.896822e-05	0.028687371	0.11606437	0.8550671
Case_10	7.894725e-05	0.00013780862	0.013466122	0.9706955	0.0156215485
Case_11	0.016198155	0.02579522	0.18359737	0.63436306	0.14004625
Case_12	0.0017594958	0.0015814003	0.026899926	0.91868275	0.051076397
Case_13	0.00012363314	0.0002054827	0.01322588	0.9743972	0.0120477695
Case_14	0.0032160727	0.0013577873	0.013029027	0.88888645	0.0935106
Case_15	7.820668e-05	0.0028945552	3.380552e-05	0.996992	1.3924014e-06
Case_16	0.0003637669	0.0003377856	0.01591827	0.9398311	0.043549065
Case_17	0.0003993811	0.0030791794	0.0036900537	0.9923764	0.00045511642
Case_18	0.047590453	0.13803132	0.0150324	0.7910055	0.00834029
Case_19	6.3650165e-05	0.00027586872	0.051675443	0.938282	0.009703053
Case_20	9.277529e-06	1.2690479e-06	0.0062229843	0.76393926	0.22982715
Case_21	0.0005590258	0.008504467	0.0047322414	0.98593163	0.0002725637
Case_22	0.009041039	0.047168482	0.17651102	0.74415106	0.023128422
Case_23	0.00017961308	5.3889416e-05	0.00055007194	0.9877001	0.0115163475
Case_24	0.0009836837	0.0027962304	0.08500383	0.8791809	0.03203533
Case_25	0.0033967958	0.1647832	0.0009650176	0.8308332	2.173238e-05
Case_26	0.00029715532	0.00027770683	0.02836021	0.9266863	0.0443786
Case_27	0.00054318405	0.00082662964	0.004182734	0.9889693	0.005478104
Case_28	2.5311096e-05	6.75689e-05	0.73272365	0.12718293	0.14000057
Case_29	8.774437e-06	1.0447684e-05	0.07047607	0.86604154	0.06346317
Case_30	1.4915246e-05	7.45265e-06	0.008297857	0.93605953	0.055620234
Case_31	0.00032825195	0.02417994	0.0013789762	0.9741018	1.1048344e-05
